product_key,product_id,category_id,product_number,product_name,product_cost,product_line,start_date,category,sub_category,maintenance
1,211,CO_RF,FR-R92R-58,HL Road Frame - Red- 58,0,Road,2003-07-01,Components,Road Frames,Yes
2,210,CO_RF,FR-R92B-58,HL Road Frame - Black- 58,0,Road,2003-07-01,Components,Road Frames,Yes
3,291,CO_MF,FR-M94S-44,HL Mountain Frame - Silver- 44,707,Mountain,2011-07-01,Components,Mountain Frames,Yes
4,274,CO_RF,FR-R72R-44,ML Road Frame - Red- 44,352,Road,2011-07-01,Components,Road Frames,Yes
5,275,CO_RF,FR-R72R-48,ML Road Frame - Red- 48,352,Road,2011-07-01,Components,Road Frames,Yes
6,276,CO_RF,FR-R72R-52,ML Road Frame - Red- 52,352,Road,2011-07-01,Components,Road Frames,Yes
7,277,CO_RF,FR-R72R-58,ML Road Frame - Red- 58,352,Road,2011-07-01,Components,Road Frames,Yes
8,278,CO_RF,FR-R72R-60,ML Road Frame - Red- 60,352,Road,2011-07-01,Components,Road Frames,Yes
9,292,CO_MF,FR-M94S-52,HL Mountain Frame - Silver- 48,707,Mountain,2011-07-01,Components,Mountain Frames,Yes
10,299,CO_MF,FR-M94B-44,HL Mountain Frame - Black- 44,699,Mountain,2011-07-01,Components,Mountain Frames,Yes
11,300,CO_MF,FR-M94B-48,HL Mountain Frame - Black- 48,699,Mountain,2011-07-01,Components,Mountain Frames,Yes
12,219,CL_SO,SO-B909-L,Mountain Bike Socks- L,3,Mountain,2011-07-01,Clothing,Socks,No
13,218,CL_SO,SO-B909-M,Mountain Bike Socks- M,3,Mountain,2011-07-01,Clothing,Socks,No
14,348,BI_MB,BK-M82B-38,Mountain-100 Black- 38,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
15,349,BI_MB,BK-M82B-42,Mountain-100 Black- 42,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
16,350,BI_MB,BK-M82B-44,Mountain-100 Black- 44,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
17,351,BI_MB,BK-M82B-48,Mountain-100 Black- 48,1898,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
18,344,BI_MB,BK-M82S-38,Mountain-100 Silver- 38,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
19,345,BI_MB,BK-M82S-42,Mountain-100 Silver- 42,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
20,346,BI_MB,BK-M82S-44,Mountain-100 Silver- 44,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
21,347,BI_MB,BK-M82S-48,Mountain-100 Silver- 48,1912,Mountain,2011-07-01,Bikes,Mountain Bikes,Yes
22,317,BI_RB,BK-R68R-44,Road-450 Red- 44,885,Road,2011-07-01,Bikes,Road Bikes,Yes
23,318,BI_RB,BK-R68R-48,Road-450 Red- 48,885,Road,2011-07-01,Bikes,Road Bikes,Yes
24,319,BI_RB,BK-R68R-52,Road-450 Red- 52,885,Road,2011-07-01,Bikes,Road Bikes,Yes
25,315,BI_RB,BK-R68R-58,Road-450 Red- 58,885,Road,2011-07-01,Bikes,Road Bikes,Yes
26,316,BI_RB,BK-R68R-60,Road-450 Red- 60,885,Road,2011-07-01,Bikes,Road Bikes,Yes
27,311,BI_RB,BK-R93R-44,Road-150 Red- 44,2171,Road,2011-07-01,Bikes,Road Bikes,Yes
