order_number,product_key,customer_key,order_date,ship_date,due_date,sales,quantity,price
SO43697,31,10769,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,20,17390,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,20,14864,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,60,3502,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,20,4,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,27,16646,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,31,5625,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,17,6,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,18,12,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,28,16622,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,28,16617,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,63,9043,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,29,5352,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,30,5518,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,30,16607,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,27,2514,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,31,16602,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,27,2592,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,30,5484,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,27,5530,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,60,14250,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,27,16669,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,28,16613,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,27,2265,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,31,2591,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,28,2582,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,58,3521,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,27,5521,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,27,2259,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,58,3561,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,27,5608,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,29,16667,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,20,239,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43730,20,14862,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,30,5630,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,16,26,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,28,16578,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,28,16605,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,31,5523,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,20,3,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,27,2262,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,28,607,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,31,2564,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,28,5528,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,31,16672,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,30,2577,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,21,8,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,29,5632,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,27,5515,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43746,28,5617,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,30,16624,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,29,16626,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,30,16637,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,27,592,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,29,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,27,2266,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,31,5483,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,28,16618,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,27,16671,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,58,8942,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,16,18,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,31,16647,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,31,2258,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,30,5353,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,31,5494,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,30,16579,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,29,5526,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,31,5613,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,20,11,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,29,5519,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,16,2,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,28,16650,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,28,10660,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,28,16615,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,63,3560,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,28,5525,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,30,5527,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,29,5349,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,21,28,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,30,2261,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,27,5516,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,19,19,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,61,14253,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,27,600,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,28,5496,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,28,5517,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,28,5621,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,31,16668,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,27,602,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,27,608,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,18,18386,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,17,240,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,17,14866,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,18,14858,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,30,5485,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,28,5624,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,18,1,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,21,30,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,28,16616,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,57,6957,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,28,5346,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,31,5522,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,28,5637,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,27,10711,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,27,2584,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,28,594,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,30,10742,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,31,2586,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,62,3511,2011-01-22,2011-01-29,2011-02-03,699,1,699
SO43806,28,5524,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43807,28,612,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43808,29,2260,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43809,31,5351,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43810,19,5,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43811,20,27,2011-01-23,2011-01-30,2011-02-04,3400,1,3400
SO43812,28,16663,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43813,16,17391,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43814,16,14867,2011-01-24,2011-01-31,2011-02-05,3375,1,3375
SO43815,27,5495,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43816,30,5497,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43817,31,5520,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43818,28,5529,2011-01-24,2011-01-31,2011-02-05,3578,1,3578
SO43819,20,7,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO43820,28,16652,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43821,31,16664,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43822,29,16670,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43823,57,8943,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43824,55,3559,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43825,29,5350,2011-01-25,2011-02-01,2011-02-06,3578,1,3578
SO43826,14,9,2011-01-25,2011-02-01,2011-02-06,3375,1,3375
SO43827,55,14251,2011-01-25,2011-02-01,2011-02-06,699,1,699
SO43828,31,16606,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43829,31,16612,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43830,27,5348,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43831,15,29,2011-01-26,2011-02-02,2011-02-07,3375,1,3375
SO43832,31,2585,2011-01-26,2011-02-02,2011-02-07,3578,1,3578
SO43833,31,10728,2011-01-27,2011-02-03,2011-02-08,3578,1,3578
SO43834,14,17394,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43835,14,8803,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43836,66,15621,2011-01-27,2011-02-03,2011-02-08,699,1,699
SO43837,16,10,2011-01-27,2011-02-03,2011-02-08,3375,1,3375
SO43838,29,16642,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43839,27,16674,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43840,61,6958,2011-01-28,2011-02-04,2011-02-09,699,1,699
SO43841,30,2407,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43842,28,5631,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO43918,29,11042,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43919,30,1125,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43920,29,17067,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43921,29,5744,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43922,31,2547,2011-01-29,2011-02-05,2011-02-10,3578,1,3578
SO43923,28,17019,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43924,31,1133,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43925,30,5662,2011-01-30,2011-02-06,2011-02-11,3578,1,3578
SO43926,17,56,2011-01-31,2011-02-07,2011-02-12,3375,1,3375
SO43927,30,5663,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43928,29,5741,2011-01-31,2011-02-07,2011-02-12,3578,1,3578
SO43929,65,14271,2011-01-31,2011-02-07,2011-02-12,699,1,699
SO43930,28,17039,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43931,29,2549,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43932,30,5742,2011-02-01,2011-02-08,2011-02-13,3578,1,3578
SO43933,21,32,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43934,20,35,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO43935,59,9049,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43936,27,17066,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43937,28,6048,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43938,31,5687,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43939,28,5660,2011-02-02,2011-02-09,2011-02-14,3578,1,3578
SO43940,60,14295,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO43941,30,2601,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43942,31,6052,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43943,55,3566,2011-02-03,2011-02-10,2011-02-15,699,1,699
SO43944,18,55,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43945,31,5676,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43946,29,5688,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43947,31,5713,2011-02-03,2011-02-10,2011-02-15,3578,1,3578
SO43948,19,48,2011-02-03,2011-02-10,2011-02-15,3400,1,3400
SO43949,31,16727,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43950,27,17015,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43951,27,5697,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43952,28,5640,2011-02-04,2011-02-11,2011-02-16,3578,1,3578
SO43953,57,9050,2011-02-05,2011-02-12,2011-02-17,699,1,699
SO43954,27,2603,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43955,30,2662,2011-02-05,2011-02-12,2011-02-17,3578,1,3578
SO43956,18,31,2011-02-05,2011-02-12,2011-02-17,3400,1,3400
SO43957,29,17069,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43958,28,5659,2011-02-06,2011-02-13,2011-02-18,3578,1,3578
SO43959,14,36,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43960,15,47,2011-02-06,2011-02-13,2011-02-18,3375,1,3375
SO43961,27,17032,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43962,28,17077,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43963,30,5686,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43964,28,5746,2011-02-07,2011-02-14,2011-02-19,3578,1,3578
SO43965,17,39,2011-02-07,2011-02-14,2011-02-19,3375,1,3375
SO43966,21,40,2011-02-07,2011-02-14,2011-02-19,3400,1,3400
SO43967,29,17041,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43968,29,17068,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43969,31,17072,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43970,27,5685,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43971,30,5658,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43972,30,10940,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43973,28,17040,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43974,28,2688,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43975,28,2541,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43976,31,17064,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43977,28,5704,2011-02-09,2011-02-16,2011-02-21,3578,1,3578
SO43978,31,17031,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43979,65,3577,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43980,17,49,2011-02-10,2011-02-17,2011-02-22,3375,1,3375
SO43981,30,5665,2011-02-10,2011-02-17,2011-02-22,3578,1,3578
SO43982,57,14272,2011-02-10,2011-02-17,2011-02-22,699,1,699
SO43983,30,17018,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43984,27,2546,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43985,29,2516,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43986,31,17071,2011-02-11,2011-02-18,2011-02-23,3578,1,3578
SO43987,31,17043,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43988,18,245,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43989,28,17084,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43990,18,14873,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO43991,31,5661,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43992,27,5639,2011-02-12,2011-02-19,2011-02-24,3578,1,3578
SO43993,30,5930,2011-02-14,2011-02-21,2011-02-26,3578,1,3578
SO43994,30,16682,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43995,28,10814,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43996,31,16921,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43997,31,17023,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO43998,14,34,2011-02-15,2011-02-22,2011-02-27,3375,1,3375
SO43999,27,17048,2011-02-15,2011-02-22,2011-02-27,3578,1,3578
SO44000,27,16919,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44001,29,17045,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44002,60,3573,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44003,57,8326,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44004,31,17062,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44005,59,15630,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44006,31,5745,2011-02-16,2011-02-23,2011-02-28,3578,1,3578
SO44007,64,14556,2011-02-16,2011-02-23,2011-02-28,699,1,699
SO44008,28,16679,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
SO44009,30,16760,2011-02-17,2011-02-24,2011-03-01,3578,1,3578
